================ Training Loss (Mon May 25 06:27:31 2020) ================
(epoch: 8, iters: 1400, time: 0.002, data: 0.000) total_loss: 0.190 reconstruction_loss: 0.038 confidence_loss: 0.152
(epoch: 8, iters: 2100, time: 0.002, data: 0.000) total_loss: 0.268 reconstruction_loss: 0.144 confidence_loss: 0.124
(epoch: 8, iters: 2800, time: 0.002, data: 0.836) total_loss: 0.152 reconstruction_loss: 0.053 confidence_loss: 0.099
(epoch: 8, iters: 3500, time: 0.002, data: 9.170) total_loss: 0.950 reconstruction_loss: 0.867 confidence_loss: 0.083
(epoch: 8, iters: 4200, time: 0.002, data: 0.000) total_loss: 0.405 reconstruction_loss: 0.322 confidence_loss: 0.084
(epoch: 8, iters: 4900, time: 0.002, data: 0.000) total_loss: 0.144 reconstruction_loss: 0.050 confidence_loss: 0.094
(epoch: 8, iters: 5600, time: 0.001, data: 0.000) total_loss: 1.676 reconstruction_loss: 1.602 confidence_loss: 0.074
(epoch: 8, iters: 6300, time: 0.001, data: 0.000) total_loss: 1.312 reconstruction_loss: 1.257 confidence_loss: 0.055
(epoch: 9, iters: 700, time: 0.002, data: 5.314) total_loss: 0.594 reconstruction_loss: 0.529 confidence_loss: 0.065
(epoch: 9, iters: 1400, time: 0.002, data: 0.000) total_loss: 0.387 reconstruction_loss: 0.315 confidence_loss: 0.072
(epoch: 9, iters: 2100, time: 0.001, data: 0.000) total_loss: 0.603 reconstruction_loss: 0.553 confidence_loss: 0.050
(epoch: 9, iters: 2800, time: 0.002, data: 0.053) total_loss: 0.658 reconstruction_loss: 0.583 confidence_loss: 0.074
(epoch: 9, iters: 3500, time: 0.001, data: 0.000) total_loss: 1.095 reconstruction_loss: 1.041 confidence_loss: 0.054
(epoch: 9, iters: 4200, time: 0.002, data: 2.234) total_loss: 1.028 reconstruction_loss: 0.949 confidence_loss: 0.078
(epoch: 9, iters: 4900, time: 0.002, data: 3.938) total_loss: 1.164 reconstruction_loss: 1.099 confidence_loss: 0.065
(epoch: 9, iters: 5600, time: 0.001, data: 0.000) total_loss: 0.877 reconstruction_loss: 0.808 confidence_loss: 0.068
(epoch: 9, iters: 6300, time: 0.001, data: 0.008) total_loss: 0.571 reconstruction_loss: 0.470 confidence_loss: 0.101
(epoch: 10, iters: 700, time: 0.002, data: 9.219) total_loss: 0.426 reconstruction_loss: 0.325 confidence_loss: 0.100
(epoch: 10, iters: 1400, time: 0.002, data: 0.000) total_loss: 0.599 reconstruction_loss: 0.489 confidence_loss: 0.110
(epoch: 10, iters: 2100, time: 0.002, data: 0.000) total_loss: 0.275 reconstruction_loss: 0.157 confidence_loss: 0.117
(epoch: 10, iters: 2800, time: 0.002, data: 2.042) total_loss: 0.230 reconstruction_loss: 0.106 confidence_loss: 0.124
(epoch: 10, iters: 3500, time: 0.002, data: 0.155) total_loss: 0.270 reconstruction_loss: 0.141 confidence_loss: 0.129
(epoch: 10, iters: 4200, time: 0.002, data: 0.006) total_loss: 0.296 reconstruction_loss: 0.184 confidence_loss: 0.112
(epoch: 10, iters: 4900, time: 0.001, data: 1.760) total_loss: 0.339 reconstruction_loss: 0.230 confidence_loss: 0.109
(epoch: 10, iters: 5600, time: 0.002, data: 0.000) total_loss: 0.121 reconstruction_loss: 0.010 confidence_loss: 0.112
(epoch: 10, iters: 6300, time: 0.001, data: 6.503) total_loss: 0.332 reconstruction_loss: 0.236 confidence_loss: 0.096
(epoch: 11, iters: 700, time: 0.002, data: 7.304) total_loss: 0.265 reconstruction_loss: 0.201 confidence_loss: 0.064
(epoch: 11, iters: 1400, time: 0.001, data: 0.000) total_loss: 0.366 reconstruction_loss: 0.273 confidence_loss: 0.093
(epoch: 11, iters: 2100, time: 0.002, data: 0.000) total_loss: 0.294 reconstruction_loss: 0.230 confidence_loss: 0.064
(epoch: 11, iters: 2800, time: 0.002, data: 2.759) total_loss: 0.323 reconstruction_loss: 0.287 confidence_loss: 0.036
(epoch: 11, iters: 3500, time: 0.002, data: 0.000) total_loss: 0.706 reconstruction_loss: 0.655 confidence_loss: 0.051
(epoch: 11, iters: 4200, time: 0.002, data: 2.796) total_loss: 0.817 reconstruction_loss: 0.746 confidence_loss: 0.071
(epoch: 11, iters: 4900, time: 0.002, data: 0.000) total_loss: 0.635 reconstruction_loss: 0.556 confidence_loss: 0.079
(epoch: 11, iters: 5600, time: 0.002, data: 0.000) total_loss: 0.382 reconstruction_loss: 0.268 confidence_loss: 0.114
(epoch: 11, iters: 6300, time: 0.001, data: 3.303) total_loss: 0.394 reconstruction_loss: 0.286 confidence_loss: 0.108
(epoch: 12, iters: 700, time: 0.002, data: 4.509) total_loss: 0.393 reconstruction_loss: 0.314 confidence_loss: 0.079
(epoch: 12, iters: 1400, time: 0.002, data: 0.739) total_loss: 0.459 reconstruction_loss: 0.381 confidence_loss: 0.078
